"","SYMBOL","ENTREZID"
"646","ZNF100","163227"
"647","ZNF101","94039"
"648","ZNF106","64397"
"649","ZNF107","51427"
"650","ZNF112","7771"
"651","ZNF132","7691"
"652","ZNF133","7692"
"653","ZNF134","7693"
"654","ZNF136","7695"
"655","ZNF138","7697"
"656","ZNF14","7561"
"657","ZNF140","7699"
"658","ZNF143","7702"
"659","ZNF146","7705"
"660","ZNF154","7710"
"661","ZNF155","7711"
"662","ZNF157","7712"
"663","ZNF16","7564"
"664","ZNF169","169841"
"665","ZNF17","7565"
"666","ZNF174","7727"
"667","ZNF175","7728"
"668","ZNF18","7566"
"669","ZNF181","339318"
"670","ZNF184","7738"
"671","ZNF189","7743"
"672","ZNF19","7567"
"673","ZNF197","10168"
"674","ZNF20","7568"
"675","ZNF205","7755"
"676","ZNF208","7757"
"677","ZNF211","10520"
"678","ZNF213","7760"
"679","ZNF214","7761"
"680","ZNF215","7762"
"681","ZNF217","7764"
"682","ZNF22","7570"
"683","ZNF221","7638"
"684","ZNF222","7673"
"685","ZNF223","7766"
"686","ZNF224","7767"
"687","ZNF225","7768"
"688","ZNF227","7770"
"689","ZNF23","7571"
"690","ZNF230","7773"
"691","ZNF233","353355"
"692","ZNF234","10780"
"693","ZNF235","9310"
"694","ZNF236","7776"
"695","ZNF24","7572"
"696","ZNF248","57209"
"697","ZNF25","219749"
"698","ZNF250","58500"
"699","ZNF251","90987"
"700","ZNF253","56242"
"701","ZNF254","9534"
"702","ZNF256","10172"
"703","ZNF257","113835"
"704","ZNF263","10127"
"705","ZNF264","9422"
"706","ZNF268","10795"
"707","ZNF273","10793"
"708","ZNF276","92822"
"709","ZNF28","7576"
"710","ZNF280A","129025"
"711","ZNF280C","55609"
"712","ZNF280D","54816"
"713","ZNF281","23528"
"714","ZNF283","284349"
"715","ZNF284","342909"
"716","ZNF286A","57335"
"717","ZNF286B","729288"
"718","ZNF287","57336"
"719","ZNF296","162979"
"720","ZNF3","7551"
"721","ZNF30","90075"
"722","ZNF300","91975"
"723","ZNF302","55900"
"724","ZNF304","57343"
"725","ZNF311","282890"
"726","ZNF317","57693"
"727","ZNF319","57567"
"728","ZNF320","162967"
"729","ZNF322","79692"
"730","ZNF324","25799"
"731","ZNF324B","388569"
"732","ZNF329","79673"
"733","ZNF333","84449"
"734","ZNF334","55713"
"735","ZNF337","26152"
"736","ZNF33A","7581"
"737","ZNF33B","7582"
"738","ZNF34","80778"
"739","ZNF341","84905"
"740","ZNF343","79175"
"741","ZNF345","25850"
"742","ZNF347","84671"
"743","ZNF35","7584"
"744","ZNF354B","117608"
"745","ZNF354C","30832"
"746","ZNF362","149076"
"747","ZNF366","167465"
"748","ZNF37A","7587"
"749","ZNF382","84911"
"750","ZNF383","163087"
"751","ZNF384","171017"
"752","ZNF391","346157"
"753","ZNF394","84124"
"754","ZNF396","252884"
"755","ZNF397","84307"
"756","ZNF398","57541"
"757","ZNF404","342908"
"758","ZNF407","55628"
"759","ZNF410","57862"
"760","ZNF414","84330"
"761","ZNF415","55786"
"762","ZNF416","55659"
"763","ZNF417","147687"
"764","ZNF418","147686"
"765","ZNF419","79744"
"766","ZNF420","147923"
"767","ZNF425","155054"
"768","ZNF426","79088"
"769","ZNF429","353088"
"770","ZNF43","7594"
"771","ZNF431","170959"
"772","ZNF432","9668"
"773","ZNF433","163059"
"774","ZNF436","80818"
"775","ZNF438","220929"
"776","ZNF439","90594"
"777","ZNF440","126070"
"778","ZNF441","126068"
"779","ZNF444","55311"
"780","ZNF445","353274"
"781","ZNF446","55663"
"782","ZNF449","203523"
"783","ZNF454","285676"
"784","ZNF461","92283"
"785","ZNF462","58499"
"786","ZNF468","90333"
"787","ZNF470","388566"
"788","ZNF471","57573"
"789","ZNF473","25888"
"790","ZNF479","90827"
"791","ZNF48","197407"
"792","ZNF483","158399"
"793","ZNF484","83744"
"794","ZNF485","220992"
"795","ZNF486","90649"
"796","ZNF490","57474"
"797","ZNF491","126069"
"798","ZNF493","284443"
"799","ZNF497","162968"
"800","ZNF500","26048"
"801","ZNF501","115560"
"802","ZNF502","91392"
"803","ZNF507","22847"
"804","ZNF510","22869"
"805","ZNF512","84450"
"806","ZNF514","84874"
"807","ZNF516","9658"
"808","ZNF517","340385"
"809","ZNF518B","85460"
"810","ZNF519","162655"
"811","ZNF521","25925"
"812","ZNF524","147807"
"813","ZNF525","170958"
"814","ZNF526","116115"
"815","ZNF527","84503"
"816","ZNF528","84436"
"817","ZNF529","57711"
"818","ZNF530","348327"
"819","ZNF532","55205"
"820","ZNF534","147658"
"821","ZNF536","9745"
"822","ZNF540","163255"
"823","ZNF541","84215"
"824","ZNF543","125919"
"825","ZNF546","339327"
"826","ZNF547","284306"
"827","ZNF548","147694"
"828","ZNF549","256051"
"829","ZNF550","162972"
"830","ZNF551","90233"
"831","ZNF552","79818"
"832","ZNF554","115196"
"833","ZNF555","148254"
"834","ZNF556","80032"
"835","ZNF557","79230"
"836","ZNF558","148156"
"837","ZNF559","84527"
"838","ZNF559-ZNF177","100529215"
"839","ZNF560","147741"
"840","ZNF563","147837"
"841","ZNF564","163050"
"842","ZNF565","147929"
"843","ZNF566","84924"
"844","ZNF567","163081"
"845","ZNF568","374900"
"846","ZNF569","148266"
"847","ZNF57","126295"
"848","ZNF570","148268"
"849","ZNF571","51276"
"850","ZNF572","137209"
"851","ZNF573","126231"
"852","ZNF574","64763"
"853","ZNF575","284346"
"854","ZNF576","79177"
"855","ZNF577","84765"
"856","ZNF578","147660"
"857","ZNF579","163033"
"858","ZNF580","51157"
"859","ZNF581","51545"
"860","ZNF582","147948"
"861","ZNF583","147949"
"862","ZNF584","201514"
"863","ZNF585A","199704"
"864","ZNF585B","92285"
"865","ZNF586","54807"
"866","ZNF587B","100293516"
"867","ZNF589","51385"
"868","ZNF594","84622"
"869","ZNF596","169270"
"870","ZNF599","148103"
"871","ZNF600","162966"
"872","ZNF605","100289635"
"873","ZNF606","80095"
"874","ZNF607","84775"
"875","ZNF610","162963"
"876","ZNF611","81856"
"877","ZNF613","79898"
"878","ZNF614","80110"
"879","ZNF615","284370"
"880","ZNF616","90317"
"881","ZNF619","285267"
"882","ZNF620","253639"
"883","ZNF621","285268"
"884","ZNF624","57547"
"885","ZNF625","90589"
"886","ZNF625-ZNF20","100529855"
"887","ZNF626","199777"
"888","ZNF628","89887"
"889","ZNF629","23361"
"890","ZNF630","57232"
"891","ZNF641","121274"
"892","ZNF646","9726"
"893","ZNF648","127665"
"894","ZNF649","65251"
"895","ZNF652","22834"
"896","ZNF653","115950"
"897","ZNF655","79027"
"898","ZNF66","7617"
"899","ZNF660","285349"
"900","ZNF662","389114"
"901","ZNF664","144348"
"902","ZNF667","63934"
"903","ZNF668","79759"
"904","ZNF669","79862"
"905","ZNF670","93474"
"906","ZNF671","79891"
"907","ZNF672","79894"
"908","ZNF674","641339"
"909","ZNF675","171392"
"910","ZNF677","342926"
"911","ZNF679","168417"
"912","ZNF680","340252"
"913","ZNF681","148213"
"914","ZNF682","91120"
"915","ZNF684","127396"
"916","ZNF688","146542"
"917","ZNF689","115509"
"918","ZNF69","7620"
"919","ZNF695","57116"
"920","ZNF696","79943"
"921","ZNF697","90874"
"922","ZNF699","374879"
"923","ZNF70","7621"
"924","ZNF700","90592"
"925","ZNF701","55762"
"926","ZNF705A","440077"
"927","ZNF705B","100132396"
"928","ZNF705D","728957"
"929","ZNF705G","100131980"
"930","ZNF707","286075"
"931","ZNF708","7562"
"932","ZNF709","163051"
"933","ZNF71","58491"
"934","ZNF710","374655"
"935","ZNF713","349075"
"936","ZNF714","148206"
"937","ZNF716","441234"
"939","ZNF721","170960"
"940","ZNF724","440519"
"941","ZNF726","730087"
"942","ZNF728","388523"
"943","ZNF729","100287226"
"944","ZNF732","654254"
"945","ZNF736","728927"
"946","ZNF737","100129842"
"947","ZNF738","148203"
"948","ZNF740","283337"
"949","ZNF746","155061"
"950","ZNF747","65988"
"951","ZNF749","388567"
"952","ZNF75A","7627"
"953","ZNF75D","7626"
"954","ZNF76","7629"
"955","ZNF763","284390"
"956","ZNF764","92595"
"957","ZNF765","91661"
"958","ZNF766","90321"
"959","ZNF77","58492"
"960","ZNF770","54989"
"961","ZNF771","51333"
"962","ZNF772","400720"
"963","ZNF773","374928"
"964","ZNF774","342132"
"965","ZNF775","285971"
"966","ZNF777","27153"
"967","ZNF778","197320"
"968","ZNF780A","284323"
"969","ZNF780B","163131"
"970","ZNF781","163115"
"971","ZNF782","158431"
"972","ZNF783","100289678"
"973","ZNF784","147808"
"974","ZNF786","136051"
"975","ZNF787","126208"
"976","ZNF788P","388507"
"977","ZNF789","285989"
"978","ZNF79","7633"
"979","ZNF790","388536"
"980","ZNF791","163049"
"981","ZNF792","126375"
"982","ZNF793","390927"
"983","ZNF799","90576"
"984","ZNF80","7634"
"985","ZNF800","168850"
"986","ZNF805","390980"
"987","ZNF808","388558"
"988","ZNF813","126017"
"989","ZNF814","730051"
"990","ZNF816","125893"
"991","ZNF816-ZNF321P","100529240"
"992","ZNF823","55552"
"993","ZNF827","152485"
"994","ZNF829","374899"
"995","ZNF831","128611"
"996","ZNF835","90485"
"997","ZNF836","162962"
"998","ZNF837","116412"
"999","ZNF84","7637"
"1000","ZNF841","284371"
"1001","ZNF843","283933"
"1002","ZNF844","284391"
"1003","ZNF845","91664"
"1004","ZNF846","162993"
"1005","ZNF850","342892"
"1006","ZNF852","285346"
"1007","ZNF853","54753"
"1008","ZNF860","344787"
"1009","ZNF862","643641"
"1010","ZNF865","100507290"
"1011","ZNF875","284459"
"1012","ZNF878","729747"
"1013","ZNF879","345462"
"1014","ZNF880","400713"
"1015","ZNF90","7643"
"1016","ZNF92","168374"
"1017","ZNF93","81931"
"1018","ZNF98","148198"
"1019","ZNF99","7652"
"1020","ZRSR2P1","7310"
"1021","ZSCAN1","284312"
"1022","ZSCAN10","84891"
"1023","ZSCAN12","9753"
"1024","ZSCAN16","80345"
"1025","ZSCAN18","65982"
"1026","ZSCAN2","54993"
"1027","ZSCAN21","7589"
"1028","ZSCAN22","342945"
"1029","ZSCAN23","222696"
"1030","ZSCAN25","221785"
"1031","ZSCAN29","146050"
"1032","ZSCAN30","100101467"
"1033","ZSCAN31","64288"
"1034","ZSCAN32","54925"
"1035","ZSCAN4","201516"
"1036","ZSCAN5A","79149"
"1037","ZSCAN5B","342933"
"1038","ZSCAN5C","649137"
"1039","ZSCAN9","7746"
"1040","ZXDA","7789"
"1041","ZXDB","158586"
"1042","ZXDC","79364"
"1043","ACTA1","58"
"1044","ACTC1","70"
"1045","ACTG1","71"
"1046","ACTG2","72"
"1047","AFG3L2","10939"
"1048","ALDH1A3","220"
"1049","ALDH3A1","218"
"1050","ALDH5A1","7915"
"1051","ALDH7A1","501"
"1052","BMPR2","659"
"1053","CAMP","820"
"1054","COL14A1","7373"
"1055","COL2A1","1280"
"1056","COL4A1","1282"
"1057","COL4A5","1287"
"1058","COL4A6","1288"
"1059","COL6A3","1293"
"1060","CRH","1392"
"1061","CTBP1","1487"
"1062","DECR1","1666"
"1063","DPYD","1806"
"1064","FN1","2335"
"1065","GATA1","2623"
"1066","GATA6","2627"
"1067","GLI3","2737"
"1068","HINT1","3094"
"1069","IHH","3549"
"1070","ITK","3702"
"1071","ITPR1","3708"
"1072","LIPE","3991"
"1073","MARS2","92935"
"1074","NDUFS2","4720"
